Postcode,X,Y,Latitude,Longitude,No Beds
119074,22476.4018,30755.98903,1.294420263,103.7836867,1239
159964,24289.01756,30112.16801,1.288598041,103.7999739,176
169608,27710.99654,29154.74786,1.279939688,103.8307218,1785
188770,30687.33471,31503.57394,1.301181531,103.8574655,380
217562,30293.8017,32752.14969,1.312473241,103.8539295,121
228510,28236.0209,31944.05637,1.305165214,103.8354393,345
229899,29499.53179,32531.43631,1.310477236,103.8467926,830
258500,26473.80793,32194.26015,1.307427932,103.819605,258
289891,25774.15835,34336.60091,1.326802461,103.8133182,34
307677,28905.82889,34177.16455,1.325360643,103.8414579,190
308433,29851.3669,33596.14678,1.320106082,103.8499541,1500
329562,29408.34444,33903.36748,1.322884501,103.8459733,472
329563,29213.91562,33821.768,1.322146552,103.8442263,333
427990,36395.55614,33041.41945,1.315088233,103.9087569,106
529889,40925.90583,35887.53676,1.340825885,103.9494655,1000
529895,40851.78059,35982.69636,1.341686505,103.9487995,236
539747,33894.90198,40406.68644,1.381697642,103.8862887,2000
544835,34601.70326,41957.73062,1.395724571,103.8926402,1000
544886,34660.01299,41810.50318,1.394393086,103.8931641,400
547530,32975.96333,39338.4437,1.37203701,103.8780312,317
569766,28783.2767,40664.79698,1.384032484,103.8403569,370
574623,28476.60567,35997.46735,1.341822826,103.8376012,304
609606,18220.96026,35089.08808,1.333606191,103.7454484,1100
659674,17857.55277,36857.66262,1.349600412,103.7421824,199
768024,28436.64285,45058.48853,1.423767457,103.8372422,428
768828,28585.3954,45093.16087,1.424081019,103.8385789,761
